,AGE,AST,BLK,DREB,EXP,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GP,HEIGHT,LOSES,MIN,NUM,OREB,PF,PLAYER,PLAYER_ID,PLUS_MINUS,POSITION,PTS,REB,SEASON,STL,TOV,TeamID,Unnamed: 0,WEIGHT,WINS,WL
2,27.0,6.333333333333332,0.4696969696969697,4.0606060606060606,6,4.696969696969697,1.5757575757575757,0.30995454545454537,15.666666666666664,6.803030303030303,0.436,6.9393939393939394,5.878787878787879,0.8385757575757574,66.0,6-1,44.0,33.0,2,0.7878787878787878,2.484848484848485,Eric Bledsoe,202339,-2.803030303030303,G,21.060606060606066,4.848484848484849,2016,1.3787878787878791,3.3939393939393936,1610612756,2,205,22.0,
3,31.0,1.890625,0.25,3.03125,9,3.171875,1.203125,0.31915625,5.40625,2.453125,0.4219375,1.015625,0.671875,0.27265625000000004,64.0,6-7,47.0,21.3125,3,0.484375,2.40625,Jared Dudley,201162,-0.6875,F,6.78125,3.515625,2016,0.65625,1.140625,1610612756,3,225,17.0,
4,34.0,0.6382978723404256,0.5106382978723404,8.212765957446809,15,0.0,0.0,0.0,4.8510638297872335,3.2553191489361697,0.6924255319148935,2.6382978723404253,1.9361702127659572,0.5411276595744681,47.0,7-1,32.0,27.659574468085108,4,3.2553191489361697,2.6808510638297878,Tyson Chandler,2199,-1.574468085106383,C,8.446808510638299,11.468085106382981,2016,0.7021276595744681,1.3829787234042554,1610612756,4,240,15.0,
5,21.0,3.704918032786885,0.08196721311475409,1.2295081967213115,R,1.2950819672131149,0.3442622950819672,0.13508196721311475,7.163934426229508,3.0163934426229506,0.3848360655737705,1.1639344262295082,0.9016393442622952,0.3237704918032787,61.0,5-10,46.0,18.393442622950822,8,0.3278688524590164,1.1967213114754098,Tyler Ulis,1627755,-2.3278688524590163,G,7.278688524590164,1.5573770491803278,2016,0.7868852459016393,1.2622950819672132,1610612756,5,150,15.0,
7,25.0,2.4074074074074074,0.0925925925925926,1.7222222222222223,5,2.5740740740740744,0.8333333333333334,0.2978148148148148,9.722222222222221,3.87037037037037,0.37870370370370376,2.851851851851852,2.4444444444444446,0.6256666666666666,54.0,6-3,38.0,21.055555555555557,11,0.462962962962963,1.6111111111111112,Brandon Knight,202688,-6.018518518518517,G,11.018518518518519,2.185185185185185,2016,0.5,1.6296296296296295,1610612756,7,195,16.0,
8,23.0,1.1363636363636365,0.5909090909090909,3.2424242424242418,2,1.4848484848484849,0.3939393939393939,0.172469696969697,12.333333333333336,6.106060606060606,0.4861212121212121,2.333333333333333,1.8030303030303032,0.4518030303030304,66.0,6-8,46.0,31.03030303030303,12,1.893939393939394,2.6515151515151514,TJ Warren,203933,-4.257575757575758,F,14.409090909090908,5.136363636363637,2016,1.1515151515151516,0.8636363636363636,1610612756,8,225,20.0,
10,24.0,0.4893617021276596,0.6808510638297872,4.212765957446808,1,0.02127659574468085,0.0,0.0,5.680851063829786,2.936170212765957,0.42170212765957454,2.3829787234042548,1.4893617021276595,0.3582340425531915,47.0,6-8,36.0,15.0,15,2.0,2.6595744680851063,Alan Williams,1626210,0.0425531914893617,F-C,7.361702127659575,6.212765957446807,2016,0.5744680851063829,0.7872340425531915,1610612756,10,260,11.0,
11,34.0,1.208955223880597,0.11940298507462685,1.3283582089552242,13,1.462686567164179,0.5223880597014925,0.20068656716417912,5.850746268656716,2.567164179104477,0.3934776119402986,0.6716417910447762,0.5970149253731343,0.25,67.0,6-3,47.0,14.328358208955224,19,0.22388059701492535,1.2238805970149254,Leandro Barbosa,2571,-0.9850746268656716,G,6.253731343283582,1.5522388059701493,2016,0.4626865671641791,0.7164179104477612,1610612756,11,194,20.0,
12,24.0,0.5714285714285714,1.2727272727272727,4.5974025974025965,3,0.15584415584415584,0.03896103896103896,0.032467532467532464,6.012987012987013,2.9870129870129865,0.4970259740259741,2.7012987012987013,1.9480519480519483,0.5721428571428572,77.0,7-1,56.0,20.246753246753247,21,2.0259740259740258,3.1428571428571432,Alex Len,203458,-5.155844155844156,C,7.961038961038962,6.6233766233766245,2016,0.4935064935064935,1.324675324675325,1610612756,12,260,21.0,
14,19.0,0.5348837209302325,0.5116279069767442,1.8604651162790695,R,2.3488372093023258,0.6511627906976745,0.24376744186046514,3.744186046511628,1.3255813953488371,0.2765116279069769,0.2558139534883721,0.09302325581395347,0.05425581395348838,43.0,7-1,30.0,13.348837209302324,35,0.5348837209302325,1.7209302325581397,Dragan Bender,1627733,-0.5813953488372093,F,3.3953488372093017,2.3953488372093017,2016,0.2325581395348837,0.7441860465116279,1610612756,14,225,13.0,
